Gene	IM-day2	Day2-day4	Day4-day8
AT1G12845	-2.35094	2.49388	1.95505
AT1G12860	-1.913565	1.94223	0
AT1G12940	40.00542	-2.09301	-8.17339
AT1G12980	-1.93770666666667	0	-3.61494666666667
AT1G13130	-8.19092	0	0
AT1G13210	3.15855	-2.23595	0
AT1G13230	5.39579	2.90542	0
AT1G13245	3.04933	0	2.54927
AT1G13260	2.32795333333333	-4.99645	0
AT1G13290	-2.30432666666667	0	-1.8092
AT1G13340	1.96622	0	3.68066
AT1G13400	2.38405	2.34523	0
AT1G13470	2.10811	-2.8081	0
AT1G13480	4.79121	0	2.22108
AT1G13520	38.41344	-12.2644	14.45449
AT1G13590	2.34629	-1.95404	0
AT1G13600	2.05191	0	0
AT1G13670	5.41258	0	-2.56335
AT1G13680	1.99026	2.1231	0
AT1G13700	2.27949	0	0
AT1G13830	2.31892	0	0
AT1G13990	2.38691	0	2.7951
AT1G14040	2.07412	-2.22448	0
AT1G14070	20.34348	0	3.47035
AT1G14120	2.85615	5.07806	1.90779
AT1G14150	-2.090885	0	0
AT1G14210	1.89402	0	0
AT1G14370	4.98651	-3.39382666666667	3.92513
AT1G14390	3.03726	0	-1.87521
AT1G14440	-2.06588333333333	0	0
AT1G14540	4.40496	-4.85719	10.54549
AT1G14686	-1.97831	0	0
AT1G14760	-5.19285	0	1.90363
AT1G14860	3.52958	0	21.13197
AT1G14870	11.46863	-3.66064	3.22556
AT1G15010	4.31479	0	6.48277
AT1G15125	8.22001	-3.57941	0
AT1G15170	13.8578	-3.83149	0
AT1G15210	2.58953	15.64474	-2.45513
AT1G15310	-1.99074	0	0
AT1G15350	3.54888	0	0
AT1G15380	-1.84941	1.99699	4.12765
AT1G15415	15.31885	-3.41655	11.70287
AT1G15430	1.939	0	1.967695
AT1G15520	15.84439	-10.20424	4.04789
AT1G15540	3.13385	-3.36706	0
AT1G15630	-2.59983	0	0
AT1G15790	2.01282	-2.19109	0
AT1G16130	2.28448	0	2.87037333333333
AT1G16150	4.530415	-2.63702	3.576725
AT1G16490	-1.90117333333333	0	-1.82235
AT1G16530	-2.8522	0	0
AT1G16670	2.05952	-1.94514	0
AT1G16850	-3.43059	4.45145	5.12287
AT1G16960	-2.098	0	1.84924
AT1G17147	10.53952	-3.3876	-1.85369
AT1G17170	20.17214	-8.02388	5.45204
AT1G17180	63.16936	-15.55302	0
AT1G17260	-2.17916	0	-1.82343
AT1G17290	1.85271	0	2.04883
AT1G17380	2.92981	0	3.57331
AT1G17420	2.74964	0	9.67029
AT1G17610	2.02921	-2.14013	0
AT1G17744	4.73561	-3.26502	2.41057
AT1G17745	2.53871	0	2.57323
AT1G17750	2.31523	-2.188615	2.00162333333333
AT1G17830	2.69723	0	2.06881
AT1G17860	2.28008	0	1.8905
AT1G17920	-2.04317	0	-1.89328
AT1G17990	11.8211	-2.27187	1.89409
AT1G18020	11.40022	-2.23004	2.21147
AT1G18200	-1.83448	0	0
AT1G18265	3.28077	-3.42131	0
AT1G18350	3.96531	-2.49623	0
AT1G18380	7.28095	0	0
AT1G18382	6.02157	-3.8069	1.96091
AT1G18390	28.8407966666667	-3.59625666666667	0
AT1G18570	60.70056	-12.46111	0
AT1G18650	-2.06299	0	-2.07549
AT1G18710	2.398995	0	4.63222333333333
AT1G18810	-1.91115	0	0
AT1G18830	1.86707	0	2.7189
AT1G18870	-2.63158	0	0
AT1G19020	160.71216	-14.68217	2.88562
AT1G19180	8.58812	-3.30502	6.449745
AT1G19320	-2.28465	2.09336	0
AT1G19450	-2.09741	0	0
AT1G19610	6.9515	0	41.50119
AT1G19670	2.34793	0	3.40108
AT1G19715	-2.43547	0	0
AT1G19770	2.35432	-2.57527	0
AT1G20010	-2.12328	0	0
AT1G20160	2.82186	0	3.25044
AT1G20310	22.11579	-7.61884	4.2454
AT1G20350	5.98182	-3.33091	4.05883
AT1G20510	3.00445	-2.50184	0
AT1G20700	1.81213	0	-2.0601
AT1G20710	1.92278	0	-2.42565666666667
AT1G20720	-1.8523	0	-2.01635
AT1G20875	-2.13995	0	0
AT1G21000	4.75068666666667	0	2.69441
AT1G21010	3.27572	-1.84888	3.32914
AT1G21100	30.7185	-7.67946	0
AT1G21110	152.88657	-7.79569	-1.82595
AT1G21120	30.83982	-6.58251	0
AT1G21130	43.4432	-6.94096	0
AT1G21210	2.61211	-2.16139	0
AT1G21326	4.10391	0	0
AT1G21340	-2.59289	0	0
AT1G21360	8.50612	0	2.97328
AT1G21460	2.58425	0	2.02044
AT1G21520	5.24727	0	0
AT1G21525	24.83646	-1.89678	3.29122
AT1G21528	3.87494	-1.84852	2.85395
AT1G21540	2.61439	4.51088	1.83567
AT1G21550	12.38657	0	1.88649
AT1G21830	1.87305	0	0
AT1G21910	1.89488	0	4.50064
AT1G22065	-5.09442	0	0
AT1G22100	-4.76175	0	0
AT1G22220	4.43954	-4.3647	0
AT1G22230	10.13025	-3.99277	2.04985
AT1G22280	2.269875	-2.3235	0
AT1G22330	-2.87383	0	0
AT1G22360	1.96875	0	4.59449
AT1G22370	0.05048	3.92128	4.38069
AT1G22400	2.2911	-3.47629	14.64419
AT1G22440	1.85234	-2.58752	0
AT1G22460	9.36883	1.96333	0
AT1G22480	-2.19582	0	-2.52784
AT1G22500	-4.28426	0	0
AT1G22530	-1.88331	0	0
AT1G22680	-4.29219	0	0
AT1G22810	16.456385	-2.738445	3.45463
AT1G22885	1.80857	0	0
AT1G22890	2.45752	0	0
AT1G22900	3.20587	-2.60674	3.92672
AT1G22990	3.56984	0	-1.88882
AT1G23060	8.95904	0	4.09083
AT1G23205	-2.9418	0	0
AT1G23210	2.29277	0	0
AT1G23390	3.10176	0	2.80153
AT1G23420	-4.91647666666667	-2.68353333333333	-4.24770333333333
AT1G23710	2.34325	0	0
AT1G23730	1.97792	0	0
AT1G23830	2.53344	0	0
AT1G23840	3.60459	-2.4525	0
AT1G23850	1.94242	-2.15436	0
AT1G24020	-2.21745	0	3.16423
AT1G24070	-1.80108	0	0
AT1G24090	2.39845	-1.99852	0
AT1G24130	3.378	0	-2.02807
AT1G24140	11.17404	-5.72641	0
AT1G24145	3.15287	-4.26224	0
AT1G24147	5.72099	-8.57296	0
AT1G24260	8.34218	2.30167666666667	1.83406
AT1G24807	2.75707	-2.59727	0
AT1G24909	10.43412	-4.79394	0
AT1G25083	2.93256	-2.31905	0
AT1G25220	9.69683	-4.3373	0
AT1G25275	3.46727	-1.93742	0
AT1G25370	2.10647	-2.2717	0
AT1G25390	1.86304	0	0
AT1G25400	7.03235	-5.50328	3.82762
AT1G25425	-2.30236	0	5.86923
AT1G25440	-2.2405	2.35973	2.01634
AT1G25450	-2.93949	0	5.35877
AT1G25530	2.96983	0	0
AT1G25560	3.36982666666667	-2.12004666666667	0
AT1G26190	-2.15155	0	0
AT1G26210	-2.66939	0	1.82166
AT1G26380	228.6093	-19.13601	0
AT1G26390	27.43576	-5.86009	3.62988
AT1G26410	76.89945	-7.17631	2.44558
AT1G26420	145.47685	-5.50873	3.11541
AT1G26840	-1.86447	0	0
AT1G26930	2.48123	0	0
AT1G26970	2.64067	-2.247585	4.866015
AT1G27020	1.83377	-2.69016	0
AT1G27110	-2.03875	0	-2.4973
AT1G27130	7.59203	-6.45407	2.05707
AT1G27160	-1.98919	0	0
AT1G27610	2.69058	0	0
AT1G27620	2.09838	0	0
AT1G27680	-1.81707	0	0
AT1G27730	26.8383266666667	-6.07269	2.46030666666667
AT1G27770	1.93435	-2.10364	0
AT1G27820	2.73977	0	0
AT1G27880	-1.80057	0	0
AT1G27890	3.11695	0	0
AT1G27940	-5.80339	0	6.79235
AT1G28110	-2.478095	0	0
AT1G28190	2.9609	0	0
AT1G28270	-2.51601	0	0
AT1G28370	8.00643	-4.77321333333333	2.14586
AT1G28455	-2.23724	0	0
AT1G28480	14.83203	-3.95406	0
AT1G28610	-2.26013	0	0
AT1G28640	-2.0701	0	0
AT1G28710	-1.82987	0	-1.86162
AT1G29050	2.20404	0	0
AT1G29270	-2.29523	0	0
AT1G29280	-2.718165	0	-2.15569
AT1G29290	9.02267	-4.613	2.63432
AT1G29395	-1.85671	0	3.6492
AT1G29500	-2.12401	1.91222	0
AT1G29510	-3.46905	0	0
AT1G29640	2.20609	0	5.31104
AT1G29660	-3.88393	0	0
AT1G29980	-1.86397	0	0
AT1G30040	2.250435	0	0
AT1G30135	4.78504	-3.86061	4.71566
AT1G30190	7.13533	-1.96748	0
AT1G30220	8.34938	0	2.04396
AT1G30370	7.86674	-4.83186	2.26582
AT1G30400	2.1949	0	1.83247
AT1G30455	-2.83087	0	5.00817
AT1G30700	24.31615	-3.09641	8.71874
AT1G30720	25.52488	0	9.47849
AT1G30730	50.44493	-2.62352	5.96489
AT1G30740	3.87092	0	4.78985
AT1G30755	4.01112	-2.94298	1.93301
AT1G30757	5.01423	-2.8191	0
AT1G30840	2.17793	0	-4.61201
AT1G30900	2.16953	0	0
AT1G31290	3.42687	0	0
AT1G31490	-2.10033	0	-2.51055
AT1G31540	2.21699666666667	-2.20282	0
AT1G31690	-2.58333	0	0
AT1G31710	-2.26752	0	-2.06436
AT1G31885	2.90331	-2.38906	0
AT1G32280	-7.30093	0	-7.74751
AT1G32300	-6.18924	0	0
AT1G32350	262.1763	-24.07588	13.06295
AT1G32375	-2.3248	0	0
AT1G32450	-3.84545	0	0
AT1G32510	-2.42269	2.39573	0
AT1G32540	-2.55573	2.23795	-2.70532
AT1G32640	2.19324	0	0
AT1G32690	2.0238	0	3.50621
AT1G32700	2.1658175	0	1.86135
AT1G32870	10.56049	-1.92509333333333	1.82278
AT1G32920	7.18979	-2.67775	0
AT1G32928	3.43858	-2.52117	0
AT1G33030	73.55673	-5.22375	8.85801
AT1G33100	2.70248	-1.97783	2.75829
AT1G33110	3.281375	-3.14094	2.434165
AT1G33240	-2.77883	0	3.23064666666667
AT1G33540	-2.03522	-1.84032	-3.7126
AT1G33590	4.13968	-2.04344	2.039
AT1G33600	9.35854	-4.45561	2.09733
AT1G33610	2.12886	-2.19303	0
AT1G33670	4.14002	0	2.08407
AT1G33770	-3.41603	0	0
AT1G33790	2.35013	0	-1.91978
AT1G33811	-2.84888	0	0
AT1G34180	2.83353	-1.812425	0
AT1G34245	-2.40393	3.57272	1.97331
AT1G34420	2.26953666666667	-2.09122333333333	0
AT1G35190	2.50387	2.13029	1.85287
AT1G35210	44.79604	-7.03776	0
AT1G35230	25.29349	-5.4998	0
AT1G35290	-3.02452	0	-2.75669
AT1G35410	-1.97588	0	0
AT1G35710	5.18273	-3.59263	0
AT1G35720	-1.81752	0	2.73935
